state_abbrev,fips,total_pop_20,activeaug19,activesep19,activeoct19,activenov19,activedec19,activejan20,activefeb20,activemar20,activeapr20,activemay20,activejun20,activejul20,activeaug20,activesep20,activeoct20,activenov20,activedec20,activejan21,activefeb21,activemar21,activeapr21,activemay21,activejun21,activejul21,activeaug21,activesep21,activeoct21,activenov21,activedec21,activejan22,activefeb22,activemar22,activeapr22,activemay22,activejun22,mdaug19,mdsep19,mdoct19,mdnov19,mddec19,mdjan20,mdfeb20,mdmar20,mdapr20,mdmay20,mdjun20,mdjul20,mdaug20,mdsep20,mdoct20,mdnov20,mddec20,mdjan21,mdfeb21,mdmar21,mdapr21,mdmay21,mdjun21,mdjul21,mdaug21,mdsep21,mdoct21,mdnov21,mddec21,mdjan22,mdfeb22,mdmar22,mdapr22,mdmay22,mdjun22
ME,23,1362359,64717,64531,65628,65351,64976,65424,64039,64385,64324,64702,64984,65374,65431,65415,65626,64840,64527,59446,60081,60143,60455,60219,59966,60229,59559,59530,58996,59170,58958,58790,59336,59008,65416,65866,62845,4.7503633,4.7367105,4.8172326,4.7969003,4.7693744,4.8022585,4.7005963,4.7259936,4.7215161,4.7492623,4.7699614,4.7985883,4.802772,4.8015976,4.8170857,4.7593918,4.7364168,4.3634605,4.4100709,4.4146218,4.4375234,4.4202003,4.4016299,4.4209347,4.3717551,4.3696265,4.3304296,4.3432016,4.3276405,4.315309,4.3553867,4.3313107,4.801671,4.834702,4.6129546
MI,26,10077331,503682,504601,510571,508525,507272,508598,503627,509966,510321,510762,511079,511487,510422,507895,511466,511104,510318,473558,476151,476929,475292,474290,475204,473703,471675,473424,475977,476489,475189,477392,479474,478162,515093,513813,481892,4.9981685,5.007288,5.0665302,5.046227,5.033793,5.0469513,4.997623,5.0605264,5.0640492,5.0684252,5.0715709,5.0756197,5.0650516,5.0399752,5.0754113,5.0718193,5.0640192,4.6992402,4.7249713,4.7326918,4.7164474,4.7065043,4.7155738,4.7006793,4.6805549,4.6979108,4.7232447,4.7283254,4.715425,4.7372861,4.7579465,4.7449269,5.111403,5.098701,4.7819409
MN,27,5706494,277138,276856,278403,277055,275932,276145,273565,276474,276597,276730,277812,278903,278928,278283,278077,277574,276240,252637,254333,255024,256840,255284,255056,254174,252036,251737,252487,252679,251565,250899,252080,251162,273798,276149,265085,4.8565373,4.8515954,4.878705,4.8550825,4.8354034,4.8391361,4.7939243,4.8449011,4.8470569,4.8493872,4.8683481,4.8874669,4.8879051,4.8766022,4.872992,4.8641777,4.8408008,4.4271841,4.4569049,4.4690137,4.5008373,4.4735699,4.4695745,4.4541183,4.4166522,4.4114127,4.4245558,4.4279203,4.4083986,4.3967276,4.4174232,4.4013367,4.7980075,4.8392062,4.6453218
MO,29,6154913,260821,260954,262318,261426,260927,261580,257913,260122,262043,261553,262962,264581,264422,264567,263617,262887,262063,240601,242797,243155,244898,243712,242703,242658,241157,241740,242308,242977,242241,240509,240855,240007,267205,267928,258433,4.2376065,4.2397676,4.2619286,4.247436,4.2393289,4.249938,4.1903596,4.2262497,4.2574606,4.2494993,4.2723918,4.298696,4.2961125,4.2984686,4.2830338,4.2711735,4.2577858,3.9090886,3.9447675,3.9505839,3.9789028,3.9596336,3.9432402,3.9425089,3.9181221,3.9275942,3.9368224,3.9476919,3.935734,3.9075937,3.9132154,3.8994377,4.3413286,4.3530755,4.1988082
MS,28,2961279,56562,56822,57124,56839,58102,58458,58080,57155,59211,59610,60719,61486,61823,61818,61634,61281,61065,55388,56065,56261,57347,56887,56569,56449,55699,55657,56243,56599,56471,56370,56401,55954,64364,65205,60582,1.910053,1.918833,1.9290314,1.9194071,1.9620576,1.9740795,1.9613147,1.9300781,1.9995077,2.0129817,2.0504315,2.0763326,2.0877128,2.087544,2.0813303,2.0694098,2.0621157,1.8704081,1.8932698,1.8998885,1.9365618,1.921028,1.9102894,1.9062371,1.8809103,1.8794919,1.8992807,1.9113026,1.90698,1.9035693,1.9046162,1.8895214,2.1735203,2.2019203,2.0458052
MT,30,1084225,51452,51416,51436,51185,51053,51209,50643,51059,51120,51244,51561,51782,51826,51848,52573,52459,51714,47579,47848,47926,48282,48384,48135,47900,47658,47531,47726,47504,47578,47452,47551,47548,52016,52343,53425,4.7455096,4.7421889,4.7440338,4.7208834,4.7087088,4.7230973,4.6708941,4.7092624,4.7148886,4.726325,4.7555628,4.7759461,4.780004,4.7820334,4.8489013,4.838387,4.7696743,4.3882957,4.413106,4.4203,4.4531345,4.4625425,4.4395766,4.417902,4.3955822,4.3838687,4.401854,4.3813782,4.3882036,4.3765821,4.3857131,4.3854365,4.7975283,4.8276882,4.9274826
NC,37,10439388,487710,488018,491482,490243,489152,491992,487097,493464,495652,497933,501426,505136,507890,509237,508159,506604,504368,460720,465025,467801,474195,470483,468674,467276,464827,464997,467798,468472,468815,468427,468964,467888,513204,520239,524877,4.6718254,4.6747761,4.7079577,4.6960893,4.6856384,4.7128434,4.6659536,4.726944,4.7479029,4.769753,4.8032126,4.8387513,4.8651319,4.8780351,4.8677087,4.8528132,4.8313942,4.4132857,4.4545236,4.4811153,4.5423641,4.5068064,4.4894776,4.4760861,4.4526267,4.4542556,4.4810863,4.4875426,4.4908285,4.4871116,4.4922557,4.4819484,4.9160352,4.9834242,5.0278521
ND,38,779094,22724,22751,22792,22713,22698,22738,22491,22627,22714,22736,22798,22863,22857,24192,24094,24203,24096,22266,22717,25516,25739,25797,25733,25711,25605,25562,25671,25603,25547,25501,25342,25251,27329,27432,23789,2.9167211,2.9201868,2.9254494,2.9153094,2.913384,2.9185181,2.8868146,2.9042709,2.9154377,2.9182615,2.9262195,2.9345624,2.9337924,3.1051452,3.0925665,3.1065571,3.0928233,2.857935,2.9158227,3.2750862,3.3037093,3.3111537,3.3029389,3.3001153,3.2865098,3.2809906,3.294981,3.286253,3.2790651,3.2731609,3.2527525,3.2410724,3.5077925,3.5210128,3.0534184
NE,31,1961504,79221,79547,79834,79826,79482,79551,78205,79210,79651,79839,80187,80508,81094,80757,81031,81660,81547,76558,77135,78530,79549,79526,80080,80060,81046,81709,81877,82146,82761,83135,84143,84099,91034,92247,78679,4.0387888,4.0554085,4.0700402,4.0696321,4.0520949,4.0556126,3.9869916,4.038228,4.0607104,4.0702949,4.0880365,4.1044016,4.1342764,4.1170959,4.1310649,4.1631322,4.157371,3.9030254,3.9324417,4.0035605,4.0555105,4.054338,4.0825815,4.081562,4.1318293,4.1656299,4.1741948,4.1879086,4.2192626,4.2383294,4.2897186,4.2874751,4.6410308,4.7028708,4.0111566
NH,33,1377529,88743,88459,88808,88607,88244,88363,87208,87865,86890,86847,86318,86265,85751,85054,84454,84349,83581,75799,75484,75689,76806,75944,75706,75327,74927,74859,75299,75356,75437,75500,75921,75652,81493,81838,81369,6.4421873,6.4215708,6.4469061,6.4323149,6.4059629,6.4146018,6.3307562,6.3784499,6.3076711,6.3045497,6.2661476,6.2623,6.224987,6.1743889,6.1308327,6.1232104,6.0674586,5.5025339,5.4796667,5.4945488,5.5756359,5.5130601,5.4957829,5.4682698,5.4392323,5.4342957,5.4662371,5.4703751,5.4762549,5.4808283,5.5113902,5.4918628,5.9158826,5.9409275,5.9068809
