constit,counts_apr20,counts_aug20,counts_dec20,counts_feb21,counts_jan21,counts_jul20,counts_jun20,counts_mar20,counts_mar21,counts_may20,counts_nov20,counts_oct20,counts_sep20,population,mp,party,md_mar20,md_apr20,md_may20,md_jun20,md_jul20,md_aug20,md_sep20,md_oct20,md_nov20,md_dec20,md_jan21,md_feb21,md_mar21
Wimbledon,3133,2312,2294,2074,2223,2251,3282,3184,2007,3374,2283,2323,2324,96425,Stephen Hammond,Conservative,3.302048206,3.249157429,3.499092579,3.403681517,2.334456921,2.39771843,2.410163403,2.409126282,2.367643356,2.37905097,2.30541873,2.150894403,2.081410408
Winchester,1495,1117,1119,1031,1128,1117,1566,1474,987,1599,1137,1137,1143,97338,Steve Brine,Conservative,1.514310956,1.535885215,1.642729402,1.608826995,1.147547722,1.147547722,1.174258709,1.168094635,1.168094635,1.149602413,1.158848524,1.059195757,1.013992429
Windsor,2880,1909,1944,1830,1912,1915,2991,2959,1764,3068,1938,1938,1935,102384,Adam Afriyie,Conservative,2.890100002,2.812939405,2.996562004,2.921355009,1.870409489,1.86454916,1.889943719,1.892873883,1.892873883,1.898734212,1.867479324,1.787388682,1.722925425
Wirral South,625,455,490,448,475,462,656,631,412,679,501,492,477,72180,Alison McGovern,Labour,0.874203384,0.865890801,0.940703809,0.908838987,0.640066504,0.630368531,0.660847902,0.681629241,0.694098115,0.678858399,0.658077002,0.620670557,0.570795238
Wirral West,655,487,484,458,482,477,685,678,446,710,484,479,484,69430,Margaret Greenwood,Labour,0.976523101,0.943396211,1.022612691,0.986605227,0.687022924,0.70142591,0.69710499,0.689903498,0.69710499,0.69710499,0.694224417,0.65965718,0.642373621
Witham,1072,805,787,715,782,803,1126,1065,647,1158,787,816,816,88422,Priti Patel,Conservative,1.204451323,1.212368011,1.309628844,1.273438692,0.90814501,0.910406888,0.922847271,0.922847271,0.890049994,0.890049994,0.884395301,0.808622301,0.731718361
Witney,1466,1048,1063,952,1052,1045,1528,1460,917,1570,1056,1074,1063,104776,Robert Courts,Conservative,1.39344883,1.399175406,1.498434782,1.458349228,0.997365832,1.000229001,1.014545321,1.025043845,1.007864356,1.014545321,1.004046679,0.908605039,0.87520045
Woking,1974,1413,1436,1287,1421,1440,2055,1981,1239,2130,1431,1433,1434,105901,Mr Jonathan Lord,Conservative,1.870615005,1.864005089,2.011312485,1.940491557,1.359760523,1.334264994,1.354094863,1.353150606,1.351261973,1.355983377,1.341819286,1.215286016,1.169960618
Wokingham,2049,1454,1491,1306,1486,1436,2136,2043,1259,2229,1475,1505,1474,101086,John Redwood,Conservative,2.021051407,2.026986837,2.205053091,2.113052368,1.420572639,1.438379169,1.458164334,1.488831282,1.459153533,1.474981666,1.470035434,1.29196918,1.2454741
Wolverhampton North East,494,382,370,345,376,371,514,501,337,534,367,381,381,88355,Jane Stevenson,Conservative,0.567030728,0.559108138,0.604380071,0.581744075,0.41989702,0.432346791,0.431214988,0.431214988,0.415369809,0.418765217,0.425556004,0.390470266,0.381415874
Wolverhampton South East,634,441,460,436,455,445,685,632,415,694,447,460,457,88515,Pat McFadden,Labour,0.714003265,0.716262758,0.784047902,0.773880124,0.502739668,0.498220652,0.516296685,0.519685924,0.504999161,0.519685924,0.514037192,0.49257189,0.468847096
Wolverhampton South West,786,572,583,528,569,562,824,790,499,847,576,590,579,85381,Stuart Anderson,Conservative,0.925264418,0.920579493,0.992024004,0.965085924,0.658226073,0.669938266,0.678136826,0.69102025,0.674623132,0.682821691,0.666424632,0.618404567,0.584439158
Worcester,1327,1152,1134,1027,1132,1101,1434,1175,1014,1414,1139,1139,1146,98840,Mr Robin Walker,Conservative,1.188789964,1.342573881,1.430594921,1.450829625,1.113921523,1.165520072,1.159449577,1.152367473,1.152367473,1.147308826,1.145285368,1.039052963,1.025900483
Workington,304,193,181,173,179,201,311,302,164,324,180,193,197,78388,Mark Jenkinson,Conservative,0.385263056,0.387814462,0.413328558,0.3967444,0.256416798,0.246211156,0.251313984,0.246211156,0.229626983,0.230902687,0.22835128,0.220697045,0.209215701
Worsley and Eccles South,887,703,700,651,691,683,943,900,617,967,713,714,715,98725,Barbara Keeley,Labour,0.91162318,0.898455322,0.979488492,0.955178499,0.691820741,0.712078989,0.724233985,0.723221064,0.722208142,0.709040284,0.699924052,0.659407437,0.62496835
Worthing West,1076,792,824,732,824,784,1128,1073,711,1149,807,802,799,94717,Sir Peter Bottomley,Conservative,1.132848382,1.136015654,1.21308744,1.190916061,0.827728927,0.836175144,0.843565583,0.846732914,0.8520118,0.86996001,0.86996001,0.772828519,0.750657201
Wrexham,495,414,431,379,436,397,522,506,354,527,429,431,436,70738,Sarah Atherton,Conservative,0.7153157,0.699765325,0.745002687,0.737934351,0.561225951,0.585258305,0.616358936,0.6092906,0.606463313,0.6092906,0.616358936,0.535779893,0.500438213
Wycombe,2039,1485,1498,1327,1494,1488,2144,2025,1275,2210,1481,1486,1488,108116,Mr Steve Baker,Conservative,1.872988224,1.885937333,2.044100761,1.983055234,1.3762995,1.373524785,1.3762995,1.374449611,1.369825006,1.38554883,1.38184917,1.227385402,1.179288864
Wyre Forest,730,538,543,490,548,534,769,751,477,793,539,547,547,97977,Mark Garnier,Conservative,0.766506433,0.745072842,0.809373617,0.784878075,0.545025885,0.549108446,0.558294296,0.558294296,0.550129116,0.554211676,0.559314966,0.500117362,0.48684895
Wyre and Preston North,806,603,641,609,653,587,845,800,607,872,641,613,610,88418,Mr Ben Wallace,Conservative,0.904793143,0.911579072,0.986224532,0.955687761,0.663891971,0.681987822,0.689904749,0.693297744,0.724965513,0.724965513,0.738537431,0.688773751,0.686511815
Wythenshawe and Sale East,1388,915,992,971,1013,918,1418,1343,953,1449,963,945,941,105407,Mike Kane,Labour,1.274108887,1.316800594,1.374671459,1.345261693,0.870909929,0.868063807,0.892730057,0.896524906,0.913601577,0.941113949,0.961036742,0.921191216,0.904114544
Yeovil,850,605,610,509,590,592,885,855,502,907,584,592,601,106771,Mr Marcus Fysh,Conservative,0.800779223,0.796096325,0.849481583,0.828876734,0.554457664,0.566633284,0.562886953,0.554457664,0.546965003,0.571316183,0.552584529,0.476721197,0.470165133
Ynys M̫n,367,287,289,271,290,277,390,384,254,395,281,280,281,69751,Virginia Crosbie,Conservative,0.550529718,0.52615732,0.566300154,0.559131742,0.397126913,0.411463648,0.402861595,0.401427925,0.402861595,0.414330989,0.41576466,0.38852489,0.364152491
York Central,1047,793,795,729,793,796,1085,1062,691,1132,802,792,804,104342,Rachael Maskell,Labour (Co-op),1.017806768,1.003431082,1.084893942,1.039849758,0.762875915,0.760000765,0.770543039,0.759042382,0.768626273,0.761917531,0.760000765,0.69866401,0.662245333
York Outer,1000,693,743,697,737,702,1045,1011,671,1066,723,729,718,93725,Julian Sturdy,Conservative,1.078687668,1.066951156,1.13736999,1.114964008,0.748999715,0.739397168,0.766070962,0.777807415,0.771405697,0.792744756,0.786343038,0.74366498,0.715924263
